genre_id,name
0,Action & Adventure
1,Anime Features
2,Anime Series
3,British TV Shows
4,Children & Family Movies
5,Classic & Cult TV
6,Classic Movies
7,Comedies
8,Crime TV Shows
9,Cult Movies
10,Documentaries
11,Docuseries
12,Dramas
13,Faith & Spirituality
14,Horror Movies
15,Independent Movies
16,International Movies
17,International TV Shows
18,Kids' TV
19,Korean TV Shows
20,LGBTQ Movies
21,Movies
22,Music & Musicals
23,Reality TV
24,Romantic Movies
25,Romantic TV Shows
26,Sci-Fi & Fantasy
27,Science & Nature TV
28,Spanish-Language TV Shows
29,Sports Movies
30,Stand-Up Comedy
31,Stand-Up Comedy & Talk Shows
32,TV Action & Adventure
33,TV Comedies
34,TV Dramas
35,TV Horror
36,TV Mysteries
37,TV Sci-Fi & Fantasy
38,TV Shows
39,TV Thrillers
40,Teen TV Shows
41,Thrillers
