show_id,type_id,title,date_added,release_year,rating_id,duration,description
0,0,Sankofa,"September 24, 2021",1993,8,125 min,"On a photo shoot in Ghana, an American model slips back in time, becomes enslaved on a plantation and bears witness to the agony of her ancestral past."
1,1,The Great British Baking Show,"September 24, 2021",2021,6,9 Seasons,"A talented batch of amateur bakers face off in a 10-week competition, whipping up their best dishes in the hopes of being named the U.K.'s best."
2,0,The Starling,"September 24, 2021",2021,4,104 min,A woman adjusting to life after a loss contends with a feisty bird that's taken over her garden — and a husband who's struggling to find a way forward.
3,0,Je Suis Karl,"September 23, 2021",2021,8,127 min,"After most of her family is murdered in a terrorist bombing, a young woman is unknowingly lured into joining the very group that killed them."
4,0,Jeans,"September 21, 2021",1998,6,166 min,"When the father of the man she loves insists that his twin sons marry twin sisters, a woman creates an alter ego that might be a bit too convincing."
5,0,Grown Ups,"September 20, 2021",2010,4,103 min,"Mourning the loss of their beloved junior high basketball coach, five middle-aged pals reunite at a lake house and rediscover the joys of being a kid."
6,0,Dark Skies,"September 19, 2021",2013,4,97 min,"A family’s idyllic suburban life shatters when an alien force invades their home, and as they struggle to convince others of the deadly threat."
7,0,Paranoia,"September 19, 2021",2013,4,106 min,"Blackmailed by his company's CEO, a low-level employee finds himself forced to spy on the boss's rival and former mentor."
8,0,Birth of the Dragon,"September 16, 2021",2017,4,96 min,"A young Bruce Lee angers kung fu traditionalists by teaching outsiders, leading to a showdown with a Shaolin master in this film based on real events."
9,0,Jaws,"September 16, 2021",1975,3,124 min,"When an insatiable great white shark terrorizes Amity Island, a police chief, an oceanographer and a grizzled shark hunter seek to destroy the beast."
10,0,Jaws 2,"September 16, 2021",1978,3,116 min,"Four years after the last deadly shark attacks, police chief Martin Brody fights to protect Amity Island from another killer great white."
11,0,Jaws 3,"September 16, 2021",1983,3,98 min,"After the staff of a marine theme park try to capture a young great white shark, they discover its mother has invaded the enclosure and is out for blood."
12,0,Jaws: The Revenge,"September 16, 2021",1987,4,91 min,"After another deadly shark attack, Ellen Brody has had enough of Amity Island and moves to the Caribbean – but a great white shark follows her there."
13,0,Safe House,"September 16, 2021",2012,5,115 min,Young CIA operative Matt Weston must get a dangerous criminal out of an agency safe house that's come under attack and get him to a securer location.
14,0,Training Day,"September 16, 2021",2001,5,122 min,A rookie cop with one day to prove himself to a veteran LAPD narcotics officer receives a crash course in his mentor's questionable brand of justice.
15,0,InuYasha the Movie 2: The Castle Beyond the Looking Glass,"September 15, 2021",2002,6,99 min,"With their biggest foe seemingly defeated, InuYasha and his friends return to everyday life. But the peace is soon shattered by an emerging new enemy."
16,0,InuYasha the Movie 3: Swords of an Honorable Ruler,"September 15, 2021",2003,6,99 min,The Great Dog Demon beaqueathed one of the Three Swords of the Fang to each of his two sons. Now the evil power of the third sword has been awakened.
17,0,InuYasha the Movie 4: Fire on the Mystic Island,"September 15, 2021",2004,9,88 min,"Ai, a young half-demon who has escaped from Horai Island to try to help her people, returns with potential saviors InuYasha, Sesshomaru and Kikyo."
18,0,InuYasha the Movie: Affections Touching Across Time,"September 15, 2021",2001,9,100 min,"A powerful demon has been sealed away for 200 years. But when the demon's son is awakened, the fate of the world is in jeopardy."
19,0,Naruto Shippuden the Movie: Blood Prison,"September 15, 2021",2011,6,102 min,"Mistakenly accused of an attack on the Fourth Raikage, ninja Naruto is imprisoned in the impenetrable Hozuki Castle and his powers are sealed."
20,0,Naruto Shippûden the Movie: Bonds,"September 15, 2021",2008,9,93 min,"When strange ninjas ambush the village of Konohagakure, it's up to adolescent ninja Naruto and his long-missing pal, Sasuke, to save the planet."
21,0,Naruto Shippûden the Movie: The Will of Fire,"September 15, 2021",2009,9,96 min,"When four out of five ninja villages are destroyed, the leader of the one spared tries to find the true culprit and protect his land."
22,0,Naruto Shippuden: The Movie,"September 15, 2021",2007,9,95 min,"The adventures of adolescent ninja Naruto Uzumaki continue as he's tasked with protecting a priestess from a demon – but to do so, he must die."
23,0,Naruto Shippuden: The Movie: The Lost Tower,"September 15, 2021",2010,6,85 min,"When Naruto is sent to recover a missing nin, the rogue manages to send him 20 years into the past, where he unites with his father to battle evil."
24,0,Naruto the Movie 2: Legend of the Stone of Gelel,"September 15, 2021",2005,9,97 min,"While on a mission to return a missing pet, Naruto and two fellow ninjas are ambushed by brutal knights led by the enigmatic Temujin."
25,0,Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,"September 15, 2021",2006,9,95 min,"Exuberant ninja Naruto teams up with his pals Sakura and Kakashi to escort Prince Michiru and his son, Hikaru, to the Crescent Moon kingdom."
26,0,Naruto the Movie: Ninja Clash in the Land of Snow,"September 15, 2021",2004,9,83 min,"Naruto, Sasuke and Sakura learn they'll be protecting an actress from being hurt while making her next film, but it turns out she's a princess."
27,0,King of Boys,"September 14, 2021",2018,8,182 min,"When a powerful businesswoman’s political ambitions are threatened by her underworld connections, the ensuing power struggle could cost her everything."
28,0,Kate,"September 10, 2021",2021,5,106 min,"Slipped a fatal poison on her final job, a ruthless assassin working in Tokyo has less than 24 hours to find out who ordered the hit and exact revenge."
29,0,Omo Ghetto: the Saga,"September 10, 2021",2020,8,147 min,"Twins are reunited as a good-hearted female gangster and her uptight rich sister take on family, crime, cops and all of the trouble that follows them."
30,0,Paradise Hills,"September 9, 2021",2019,8,95 min,"Uma wakes up in a lush tropical facility designed to turn willful girls into perfect ladies. That’s bad enough, but its real purpose is even worse."
31,0,Show Dogs,"September 8, 2021",2018,3,90 min,A rough and tough police dog must go undercover with an FBI agent as a prim and proper pet at a dog show to save a baby panda from an illegal sale.
32,0,If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd,"September 7, 2021",2018,8,97 min,"Using interviews and archival footage, this documentary charts the story of the legendary Southern rockers with a focus on front man Ronnie Van Zant."
33,0,Angamaly Diaries,"September 5, 2021",2017,6,128 min,"After growing up amidst the gang wars of his hometown, Vincent forms an entrepreneurial squad of his own and ends up on the wrong side of the law."
